Date Time,Date Time(RAW),CPU 7,CPU 7(RAW),Downtime,Downtime(RAW),Coverage,Coverage(RAW)
12/1/2025 12:00:00 AM,45992.7083333333,19 %,19.3611,0 %,0.0,100 %,10000.0
12/2/2025 12:00:00 AM,45993.7083333333,20 %,19.7813,0 %,0.0,100 %,10000.0
12/3/2025 12:00:00 AM,45994.7083333333,20 %,19.6042,0 %,0.0,100 %,10000.0
12/4/2025 12:00:00 AM,45995.7083333333,20 %,19.5625,0 %,0.0,100 %,10000.0
12/5/2025 12:00:00 AM,45996.7083333333,20 %,19.6007,0 %,0.0,100 %,10000.0
12/6/2025 12:00:00 AM,45997.7083333333,20 %,19.6042,0 %,0.0,100 %,10000.0
12/7/2025 12:00:00 AM,45998.7083333333,20 %,19.7118,0 %,0.0,100 %,10000.0
12/8/2025 12:00:00 AM,45999.7083333333,20 %,19.566,0 %,0.0,100 %,10000.0
12/9/2025 12:00:00 AM,46000.7083333333,20 %,19.6285,0 %,0.0,100 %,10000.0
12/10/2025 12:00:00 AM,46001.7083333333,20 %,19.9132,0 %,0.0,100 %,10000.0
12/11/2025 12:00:00 AM,46002.7083333333,20 %,19.5486,0 %,0.0,100 %,10000.0
12/12/2025 12:00:00 AM,46003.7083333333,20 %,19.5069,0 %,0.0,100 %,10000.0
12/13/2025 12:00:00 AM,46004.7083333333,20 %,19.5625,0 %,0.0,100 %,10000.0
12/14/2025 12:00:00 AM,46005.7083333333,20 %,19.5347,0 %,0.0,100 %,10000.0
12/15/2025 12:00:00 AM,46006.7083333333,20 %,19.6285,0 %,0.0,100 %,10000.0
12/16/2025 12:00:00 AM,46007.7083333333,19 %,19.3924,0 %,0.0,100 %,10000.0
12/17/2025 12:00:00 AM,46008.7083333333,20 %,19.6424,0 %,0.0,100 %,10000.0
12/18/2025 12:00:00 AM,46009.7083333333,20 %,19.7917,0 %,0.0,100 %,10000.0
12/19/2025 12:00:00 AM,46010.7083333333,20 %,19.6389,0 %,0.0,100 %,10000.0
12/20/2025 12:00:00 AM,46011.7083333333,20 %,19.6319,0 %,0.0,100 %,10000.0
12/21/2025 12:00:00 AM,46012.7083333333,19 %,19.4792,0 %,0.0,100 %,10000.0
12/22/2025 12:00:00 AM,46013.7083333333,20 %,19.5694,0 %,0.0,100 %,10000.0
12/23/2025 12:00:00 AM,46014.7083333333,19 %,19.441,0 %,0.0,100 %,10000.0
12/24/2025 12:00:00 AM,46015.7083333333,20 %,19.7847,0 %,0.0,100 %,10000.0
12/25/2025 12:00:00 AM,46016.7083333333,20 %,19.6944,0 %,0.0,100 %,10000.0
12/26/2025 12:00:00 AM,46017.7083333333,19 %,19.4444,0 %,0.0,100 %,10000.0
12/27/2025 12:00:00 AM,46018.7083333333,20 %,19.5938,0 %,0.0,100 %,10000.0
12/28/2025 12:00:00 AM,46019.7083333333,20 %,19.6181,0 %,0.0,100 %,10000.0
12/29/2025 12:00:00 AM,46020.7083333333,20 %,19.566,0 %,0.0,100 %,10000.0
Averages (of 29 values),,20 %,,0 %,,100 %,
