hostname,cpu_id,temp_id,traffic_id,mem_id,ping_id
DC_BCA,59406,59408,59349,59407,59358
DRC_BCA,43956,43958,44509,43957,46403
DC_Mandiri,43840,43842,43864,43841,46413
DRC_Mandiri,44000,44002,43990,44001,43988
DC_BNI,43753,43755,43739,43754,46405
DRC_BNI,43845,43847,43850,43846,46407
DC_BRI,43780,43782,43785,43781,46409
DRC_BRI,44101,44103,44106,44102,46411
DC_CIMB,44006,44008,44011,44007,46417
DRC_CIMB,44046,44048,44051,44047,46419
DC_BTN,55456,55458,55459,55457,55455
DRC_BTN,53240,53242,53244,53241,53243
DC_DBS,57189,57191,57192,57190,57188
DRC_DBS,55910,55912,55913,55911,55909
DC_Danamon,54795,54797,54799,54796,54798
DRC_Danamon,53436,53438,53439,53437,53445
DC_UOB,56204,56206,56207,56205,56203
DRC_UOB,56028,56030,56031,56029,56038
DC_Mega,56537,56539,56541,56538,56540
DRC_Mega,55824,55826,55828,55825,55827
DC_Sinarmas,53956,53958,53959,53957,53955
DRC_Sinarmas,54147,54149,54150,54148,54146
DC_BSI,54099,54101,54103,54100,54102
DRC_BSI,53481,53483,53474,53482,53469
DC_Citibank,55723,55725,55726,55724,55722
DRC_Citibank,55687,55689,55690,55688,55686
DC_Woori,52839,52841,52843,52840,52849
DRC_Woori,52163,52165,52044,52164,52416
DC_OCBC,56773,56775,56777,56774,56776
DRC_OCBC,54643,54645,54646,54644,54592
DC_Permata,57918,57920,57921,57919,57917
DRC_Permata,55945,55947,55951,55946,55944
DC_Jatim,72805,72807,72795,72806,72794
DRC_Jatim,73429,73431,73424,73430,72841
DC_Jateng,54275,54277,54278,54276,54273
DRC_Jateng,52258,52260,52261,52259,52333
DC_InaPerdana,52915,52917,52918,52916,52924
DRC_InaPerdana,52355,52357,52359,52356,52358
DC_BSS,56616,56618,56619,56617,56615
DRC_BSS,55610,55612,55613,55611,55609
DC_Maspion,54162,54164,54123,54163,54814
DRC_Maspion,52338,52340,52021,52339,52020
DC_Mantap,54987,54989,54990,54988,54986
DRC_Mantap,52548,52550,52551,52549,52547
DC_Nobu,56698,56700,56701,56699,56697
DRC_Nobu,52186,52188,52189,52187,53165
DC_Mestika,54326,54328,54329,54327,54325
DRC_Mestika,52085,52087,52088,52086,53139
DC_Multiarta,53874,53876,53877,53875,53873
DRC_Multiarta,52126,52128,52129,52127,53176
DC_Ganesha,56344,56346,56337,56345,56336
DRC_Ganesha,54921,54923,54925,54922,54924
DC_Bali,54834,54836,54837,54835,54844
DRC_Bali,52982,52984,52986,52983,52985
DC_Papua,55487,55489,55490,55488,55497
DRC_Papua,52583,52585,52586,52584,52582
DC_KSEI,55752,55754,55756,55753,55755
DRC_KSEI,55284,55286,55288,55285,55287
DC_Hana,55647,55649,55650,55648,55646
DRC_Hana,52367,52369,52370,52368,52366
DC_BJB,54870,54872,54873,54871,54881
DRC_BJB,52474,52476,52481,52475,53214
DC_Panin,56459,56464,56465,56460,56461
DRC_Panin,55086,55088,55089,55087,55096
