hostname,cpu_id,mem_id,ping_id,temp_id,traffic_id
DC_BCA,43713,43714,46401,43715,43717
DRC_BCA,66998,66999,66924,67000,66991
DC_Mandiri,43840,43841,46413,43842,43864
DRC_Mandiri,44000,44001,43988,44002,43990
DC_BNI,43753,43754,46405,43755,43739
DRC_BNI,67925,67926,67937,67927,67929
DC_BRI,43780,43781,46409,43782,43785
DRC_BRI,44101,44102,46411,44103,44106
DC_CIMB,44006,44007,46417,44008,44011
DRC_CIMB,44046,44047,46419,44048,44051
DC_BTN,55456,55457,55455,55458,55459
DRC_BTN,53240,53241,53243,53242,53244
DC_DBS,57189,57190,57188,57191,57192
DRC_DBS,55910,55911,55909,55912,55913
DC_Danamon,54795,54796,54798,54797,54799
DRC_Danamon,53436,53437,53445,53438,53439
DC_UOB,56204,56205,56203,56206,56207
DRC_UOB,56028,56029,56038,56030,56031
DC_Mega,56537,56538,56540,56539,56541
DRC_Mega,55824,55825,55827,55826,55828
DC_Sinarmas,53956,53957,53955,53958,53959
DRC_Sinarmas,54147,54148,54146,54149,54150
DC_BSI,54099,54100,54102,54101,54103
DRC_BSI,53481,53482,53469,53483,53474
DC_Citibank,55723,55724,55722,55725,55726
DRC_Citibank,55687,55688,55686,55689,55690
DC_Woori,52839,52840,52849,52841,52843
DRC_Woori,52163,52164,52416,52165,52044
DC_OCBC,56773,56774,56776,56775,56777
DRC_OCBC,54643,54644,54592,54645,54646
DC_Permata,57918,57919,57917,57920,57921
DRC_Permata,55945,55946,55944,55947,55951
DC_Jatim,72805,72806,72794,72807,72795
DRC_Jatim,73429,73430,72841,73431,73424
DC_Jateng,54275,54276,54273,54277,54278
DRC_Jateng,52258,52259,52333,52260,52261
DC_InaPerdana,52915,52916,52924,52917,52918
DRC_InaPerdana,52355,52356,52358,52357,52359
DC_BSS,56616,56617,56615,56618,56619
DRC_BSS,55610,55611,55609,55612,55613
DC_Maspion,54162,54163,54814,54164,54123
DRC_Maspion,52338,52339,52020,52340,52021
DC_Mantap,54987,54988,54986,54989,54990
DRC_Mantap,52548,52549,52547,52550,52551
DC_Nobu,56698,56699,56697,56700,56701
DRC_Nobu,52186,52187,53165,52188,52189
DC_Mestika,54326,54327,54325,54328,54329
DRC_Mestika,52085,52086,53139,52087,52088
DC_Multiarta,53874,53875,53873,53876,53877
DRC_Multiarta,52126,52127,53176,52128,52129
DC_Ganesha,56344,56345,56336,56346,56337
DRC_Ganesha,54921,54922,54924,54923,54925
DC_Bali,54834,54835,54844,54836,54837
DRC_Bali,52982,52983,52985,52984,52986
DC_Papua,55487,55488,55497,55489,55490
DRC_Papua,52583,52584,52582,52585,52586
DC_KSEI,55752,55753,55755,55754,55756
DRC_KSEI,55284,55285,55287,55286,55288
DC_Hana,55647,55648,55646,55649,55650
DRC_Hana,52367,52368,52366,52369,52370
DC_BJB,54870,54871,54881,54872,54873
DRC_BJB,52474,52475,53214,52476,52481
DC_Panin,56459,56460,56461,56464,56465
DRC_Panin,55086,55087,55096,55088,55089
DC_NTT,56662,56663,56661,56664,56665
DRC_NTT,52612,52613,52611,52614,52615
DC_HSBC,56174,56175,56173,56176,56177
DRC_HSBC,56305,56306,56296,56307,56297
DC_BJBS,53046,53047,53055,53048,53049
DRC_BJBS,52218,52219,52439,52220,52221
DC_DKI,54366,54367,54365,54368,54369
DRC_DKI,55121,55122,55120,55123,55124
DC_ArthaGraha,54685,54686,54676,54687,54677
DRC_ArthaGraha,52285,52286,52319,52287,52289
DC_Raya,52960,52961,52952,52962,52953
DRC_Raya,52238,52239,53132,52240,52241
DC_Jago,54078,54079,54077,54080,54064
DRC_Jago,56101,56102,56100,56103,56104
DC_Bumiarta,53922,53923,53921,53924,53925
DRC_Bumiarta,52152,52153,52408,52154,52155
DC_Rintis,45978,45979,46423,45980,45983
DRC_Rintis,45998,45999,46425,46000,46003
DC_Neo,57144,57145,57143,57146,57152
DRC_Neo,54886,54887,54896,54888,54889
DC_Capital,55403,55404,55414,55405,55406
DRC_Capital,52882,52883,52885,52884,52886
DC_ICBC,56129,56130,56140,56131,56132
DRC_ICBC,54241,54242,54252,54243,54244
DC_CTBC,56406,56407,56398,56408,56399
DRC_CTBC,54597,54598,54653,54599,54604
DC_BTPN,56584,56585,58067,56586,56576
DRC_BTPN,55055,55056,55064,55057,55058
DC_Mayora,55567,55568,55565,55569,55570
DRC_Mayora,53013,53014,53016,53015,53017
DC_Maybank,55534,55535,55840,55536,55520
DRC_Maybank,54756,54757,54759,54758,54760
DC_Muamalat,56062,56063,56072,56064,56065
DRC_Muamalat,53838,53839,53846,53840,53841
DC_Kalsel,55892,55893,55891,55894,55895
DRC_Kalsel,54000,54001,54954,54002,54007
DC_Mayapada,55965,55966,55964,55967,55968
DRC_Mayapada,54031,54032,54030,54033,54034
DC_Seabank,56730,56731,56736,56732,56737
DRC_Seabank,56257,56258,56250,56259,56260
DC_BJJ,54703,54704,54713,54705,54706
DRC_BJJ,53611,53612,53624,53613,53616
DC_Stanchart,56816,56817,56822,56818,56823
DRC_Stanchart,55021,55022,55020,55023,55024
DC_BOA,57223,57224,58068,57225,57226
DRC_BOA,55772,55773,55782,55774,55775
DC_Aladin,56998,56999,56997,57000,57001
DRC_Aladin,56368,56369,56371,56370,56372
DC_Jambi,50824,50825,52420,50826,50827
