"Date Time","Date Time(RAW)","Available Memory 1 (Processor)","Available Memory 1 (Processor)(RAW)","Percent Available Memory 1 (Processor)","Percent Available Memory 1 (Processor)(RAW)","Available Memory 2 (reserve Processor)","Available Memory 2 (reserve Processor)(RAW)","Percent Available Memory 2 (reserve Processor)","Percent Available Memory 2 (reserve Processor)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"12/1/2025 12:00:00 AM","45992.7083333333","7,421 MB","7781932993.1944","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/2/2025 12:00:00 AM","45993.7083333333","7,421 MB","7781933123.6111","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/3/2025 12:00:00 AM","45994.7083333333","7,421 MB","7781933053.7222","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/4/2025 12:00:00 AM","45995.7083333333","7,421 MB","7781933065.6389","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/5/2025 12:00:00 AM","45996.7083333333","7,421 MB","7781933056.3056","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/6/2025 12:00:00 AM","45997.7083333333","7,421 MB","7781925577.2500","97 %","96.9006","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/7/2025 12:00:00 AM","45998.7083333333","7,421 MB","7781932719.6944","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/8/2025 12:00:00 AM","45999.7083333333","7,421 MB","7781935909.6111","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/9/2025 12:00:00 AM","46000.7083333333","7,421 MB","7781932626.1667","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/10/2025 12:00:00 AM","46001.7083333333","7,421 MB","7781932464.4722","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/11/2025 12:00:00 AM","46002.7083333333","7,421 MB","7781932434.5833","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
