"Date Time","Date Time(RAW)","Ping Time","Ping Time(RAW)","Minimum","Minimum(RAW)","Maximum","Maximum(RAW)","Packet Loss","Packet Loss(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"12/1/2025 12:00:00 AM","45992.7083333333","4 msec","4.3875","4 msec","3.9410","6 msec","5.5069","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/2/2025 12:00:00 AM","45993.7083333333","4 msec","4.1958","4 msec","3.9514","5 msec","4.8333","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/3/2025 12:00:00 AM","45994.7083333333","4 msec","4.2264","4 msec","3.9444","5 msec","4.9271","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/4/2025 12:00:00 AM","45995.7083333333","4 msec","4.1931","4 msec","3.9444","5 msec","4.7882","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/5/2025 12:00:00 AM","45996.7083333333","4 msec","4.2333","4 msec","3.9583","5 msec","4.9132","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/6/2025 12:00:00 AM","45997.7083333333","4 msec","4.2396","4 msec","3.9201","5 msec","5.0069","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/7/2025 12:00:00 AM","45998.7083333333","4 msec","4.1938","4 msec","3.9549","5 msec","4.7778","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/8/2025 12:00:00 AM","45999.7083333333","4 msec","4.2597","4 msec","3.9410","5 msec","5.0486","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/9/2025 12:00:00 AM","46000.7083333333","4 msec","4.2576","4 msec","3.9688","5 msec","4.9826","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/10/2025 12:00:00 AM","46001.7083333333","4 msec","4.2097","4 msec","3.9618","5 msec","4.8333","","0.0694","0 %","0.0000","100 %","0000010000"
"12/11/2025 12:00:00 AM","46002.7083333333","4 msec","4.2514","4 msec","3.9583","5 msec","5.0417","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/12/2025 12:00:00 AM","46003.7083333333","4 msec","4.2764","4 msec","3.9479","5 msec","5.1111","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/13/2025 12:00:00 AM","46004.7083333333","4 msec","4.1924","4 msec","3.9444","5 msec","4.7500","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/14/2025 12:00:00 AM","46005.7083333333","4 msec","4.1917","4 msec","3.9688","5 msec","4.7465","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/15/2025 12:00:00 AM","46006.7083333333","4 msec","4.2757","4 msec","3.9514","5 msec","5.1042","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/16/2025 12:00:00 AM","46007.7083333333","4 msec","4.3813","4 msec","4.0208","5 msec","5.1181","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/17/2025 12:00:00 AM","46008.7083333333","4 msec","4.2646","4 msec","3.9549","5 msec","5.1181","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/18/2025 12:00:00 AM","46009.7083333333","4 msec","4.1376","4 msec","3.9375","5 msec","4.6111","","0.2083","0 %","0.0000","100 %","0000010000"
"12/19/2025 12:00:00 AM","46010.7083333333","4 msec","4.2326","4 msec","3.9653","5 msec","5.0174","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/20/2025 12:00:00 AM","46011.7083333333","4 msec","4.2347","4 msec","3.9444","5 msec","5.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/21/2025 12:00:00 AM","46012.7083333333","4 msec","4.3722","4 msec","3.9688","5 msec","5.2813","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/22/2025 12:00:00 AM","46013.7083333333","4 msec","4.2493","4 msec","3.9618","5 msec","4.9931","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/23/2025 12:00:00 AM","46014.7083333333","4 msec","4.1833","4 msec","3.9306","5 msec","4.8646","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/24/2025 12:00:00 AM","46015.7083333333","4 msec","4.2549","4 msec","3.9306","5 msec","5.1840","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/25/2025 12:00:00 AM","46016.7083333333","4 msec","4.2049","4 msec","3.9479","5 msec","4.9896","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/26/2025 12:00:00 AM","46017.7083333333","4 msec","4.1389","4 msec","3.9479","5 msec","4.6389","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/27/2025 12:00:00 AM","46018.7083333333","4 msec","4.2000","4 msec","3.9167","5 msec","4.8090","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/28/2025 12:00:00 AM","46019.7083333333","4 msec","4.1278","4 msec","3.9167","5 msec","4.6354","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/29/2025 12:00:00 AM","46020.7083333333","4 msec","4.2960","4 msec","3.9444","5 msec","5.3403","","0.0694","0 %","0.0000","100 %","0000010000"
"Averages (of 29 values)",,"4 msec",,"4 msec",,"5 msec",,"",,"0 %",,"100 %",
