"Date Time","Date Time(RAW)","Temperature Slot 6 - Temp: CP-CPU","Temperature Slot 6 - Temp: CP-CPU(RAW)","Temperature Slot 6 - Temp: Outlet 2","Temperature Slot 6 - Temp: Outlet 2(RAW)","Temperature Slot 6 - Temp: Outlet 1","Temperature Slot 6 - Temp: Outlet 1(RAW)","Temperature Slot 6 - Temp: Inlet 2","Temperature Slot 6 - Temp: Inlet 2(RAW)","Temperature Slot 6 - Temp: Inlet 1","Temperature Slot 6 - Temp: Inlet 1(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"12/1/2025 12:00:00 AM","45992.7083333333","38 °C","38.3333","37 °C","36.6007","35 °C","35.2500","32 °C","31.6285","28 °C","28.0868","0 %","0.0000","100 %","0000010000"
"12/2/2025 12:00:00 AM","45993.7083333333","39 °C","38.5313","37 °C","37.0486","36 °C","35.8854","33 °C","32.5556","29 °C","28.9653","0 %","0.0000","100 %","0000010000"
"12/3/2025 12:00:00 AM","45994.7083333333","38 °C","38.3750","37 °C","36.5243","35 °C","35.0035","31 °C","31.1493","28 °C","27.5694","0 %","0.0000","100 %","0000010000"
"12/4/2025 12:00:00 AM","45995.7083333333","38 °C","37.9271","36 °C","36.0833","34 °C","34.2361","30 °C","30.3819","27 °C","27.0035","0 %","0.0000","100 %","0000010000"
"12/5/2025 12:00:00 AM","45996.7083333333","38 °C","38.0868","37 °C","36.6181","35 °C","35.3750","32 °C","31.7535","28 °C","28.1181","0 %","0.0000","100 %","0000010000"
"12/6/2025 12:00:00 AM","45997.7083333333","39 °C","38.9201","38 °C","37.5174","36 °C","36.3715","33 °C","33.0451","29 °C","29.4410","0 %","0.0000","100 %","0000010000"
"12/7/2025 12:00:00 AM","45998.7083333333","39 °C","38.8194","37 °C","36.8299","35 °C","35.2361","31 °C","31.2917","28 °C","27.5174","0 %","0.0000","100 %","0000010000"
"12/8/2025 12:00:00 AM","45999.7083333333","38 °C","37.9514","36 °C","36.0868","34 °C","34.2118","30 °C","30.3229","27 °C","26.9410","0 %","0.0000","100 %","0000010000"
"12/9/2025 12:00:00 AM","46000.7083333333","38 °C","37.8160","36 °C","36.4132","35 °C","35.1771","31 °C","31.4375","28 °C","27.7153","0 %","0.0000","100 %","0000010000"
"12/10/2025 12:00:00 AM","46001.7083333333","38 °C","38.0451","37 °C","36.5660","36 °C","35.5174","32 °C","32.1111","28 °C","28.4583","0 %","0.0000","100 %","0000010000"
"12/11/2025 12:00:00 AM","46002.7083333333","38 °C","37.8750","36 °C","36.1597","34 °C","34.4167","31 °C","30.5417","27 °C","27.0347","0 %","0.0000","100 %","0000010000"
"12/12/2025 12:00:00 AM","46003.7083333333","38 °C","37.7951","36 °C","35.9375","34 °C","34.2604","30 °C","30.3785","27 °C","27.0729","0 %","0.0000","100 %","0000010000"
"12/13/2025 12:00:00 AM","46004.7083333333","38 °C","38.2049","36 °C","36.3819","35 °C","34.9653","31 °C","31.3264","28 °C","27.8472","0 %","0.0000","100 %","0000010000"
"12/14/2025 12:00:00 AM","46005.7083333333","38 °C","38.2708","37 °C","36.5833","35 °C","35.4097","32 °C","31.9861","28 °C","28.4688","0 %","0.0000","100 %","0000010000"
"12/15/2025 12:00:00 AM","46006.7083333333","38 °C","38.1979","36 °C","36.3229","35 °C","34.8021","31 °C","31.0278","27 °C","27.1910","0 %","0.0000","100 %","0000010000"
"12/16/2025 12:00:00 AM","46007.7083333333","38 °C","37.5208","36 °C","35.8160","34 °C","34.0625","30 °C","29.9653","26 °C","26.4410","0 %","0.0000","100 %","0000010000"
"12/17/2025 12:00:00 AM","46008.7083333333","38 °C","37.8056","36 °C","36.2813","35 °C","34.8924","31 °C","31.1007","27 °C","27.3403","0 %","0.0000","100 %","0000010000"
"12/18/2025 12:00:00 AM","46009.7083333333","38 °C","37.7604","36 °C","36.1215","35 °C","35.0903","32 °C","31.7639","28 °C","27.9444","0 %","0.0000","100 %","0000010000"
"12/19/2025 12:00:00 AM","46010.7083333333","37 °C","37.3125","36 °C","35.5972","34 °C","34.2778","31 °C","30.5139","26 °C","26.1910","0 %","0.0000","100 %","0000010000"
"12/20/2025 12:00:00 AM","46011.7083333333","38 °C","37.7153","36 °C","35.6806","34 °C","34.2257","30 °C","30.2465","26 °C","26.4653","0 %","0.0000","100 %","0000010000"
"12/21/2025 12:00:00 AM","46012.7083333333","38 °C","38.3924","37 °C","36.5104","35 °C","35.2222","31 °C","31.4931","28 °C","27.7188","0 %","0.0000","100 %","0000010000"
"12/22/2025 12:00:00 AM","46013.7083333333","38 °C","38.3507","36 °C","36.3681","35 °C","35.3194","32 °C","32.1007","28 °C","28.2014","0 %","0.0000","100 %","0000010000"
"12/23/2025 12:00:00 AM","46014.7083333333","38 °C","37.7847","36 °C","35.8958","35 °C","34.5347","31 °C","30.6771","26 °C","26.4861","0 %","0.0000","100 %","0000010000"
"12/24/2025 12:00:00 AM","46015.7083333333","38 °C","37.7326","36 °C","35.9340","34 °C","34.2917","30 °C","30.3889","27 °C","26.8646","0 %","0.0000","100 %","0000010000"
"12/25/2025 12:00:00 AM","46016.7083333333","38 °C","38.2292","36 °C","36.1944","35 °C","34.9236","31 °C","31.4097","28 °C","27.6076","0 %","0.0000","100 %","0000010000"
