"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"12/1/2025 12:00:00 AM","45992.7083333333","1,060,730 KB","1086187823.5441","101 kbit/s","12571.8395","546,236 KB","559345343.1606","52 kbit/s","6474.0183","514,495 KB","526842480.3834","49 kbit/s","6097.8212","0 %","0.0000","100 %","0000010000"
"12/2/2025 12:00:00 AM","45993.7083333333","1,014,141 KB","1038480456.2767","96 kbit/s","12019.6487","512,571 KB","524873089.0654","49 kbit/s","6075.0206","501,570 KB","513607367.2113","48 kbit/s","5944.6281","0 %","0.0000","100 %","0000010000"
"12/3/2025 12:00:00 AM","45994.7083333333","1,021,159 KB","1045666985.3717","97 kbit/s","12102.8457","518,552 KB","530996924.5464","49 kbit/s","6145.9087","502,607 KB","514670060.8253","48 kbit/s","5956.9370","0 %","0.0000","100 %","0000010000"
"12/4/2025 12:00:00 AM","45995.7083333333","1,013,671 KB","1037999383.5463","96 kbit/s","12014.0764","512,481 KB","524780172.6681","49 kbit/s","6073.9430","501,191 KB","513219210.8782","48 kbit/s","5940.1334","0 %","0.0000","100 %","0000010000"
"12/5/2025 12:00:00 AM","45996.7083333333","1,014,665 KB","1039016871.5764","96 kbit/s","12025.8712","513,526 KB","525851085.9139","49 kbit/s","6086.3472","501,138 KB","513165785.6625","48 kbit/s","5939.5240","0 %","0.0000","100 %","0000010000"
"12/6/2025 12:00:00 AM","45997.7083333333","925,014 KB","947214186.4628","88 kbit/s","10963.3150","458,892 KB","469905064.0893","44 kbit/s","5438.8092","466,122 KB","477309122.3735","44 kbit/s","5524.5058","0 %","0.0000","100 %","0000010000"
"12/7/2025 12:00:00 AM","45998.7083333333","924,467 KB","946654714.1161","88 kbit/s","10956.8268","458,640 KB","469647527.6232","43 kbit/s","5435.8221","465,827 KB","477007186.4930","44 kbit/s","5521.0047","0 %","0.0000","100 %","0000010000"
"12/8/2025 12:00:00 AM","45999.7083333333","1,041,476 KB","1066471089.5064","99 kbit/s","12343.6183","537,895 KB","550804074.2940","51 kbit/s","6375.1519","503,581 KB","515667015.2124","48 kbit/s","5968.4663","0 %","0.0000","100 %","0000010000"
"12/9/2025 12:00:00 AM","46000.7083333333","1,011,996 KB","1036283898.6737","96 kbit/s","11994.2237","511,065 KB","523330961.2154","48 kbit/s","6057.1709","500,931 KB","512952937.4583","47 kbit/s","5937.0529","0 %","0.0000","100 %","0000010000"
"12/10/2025 12:00:00 AM","46001.7083333333","1,055,756 KB","1081093974.6845","100 kbit/s","12512.8573","549,386 KB","562571051.9741","52 kbit/s","6511.3408","506,370 KB","518522922.7104","48 kbit/s","6001.5165","0 %","0.0000","100 %","0000010000"
